Country,Latitude,Longitude
Kazakhstan,,
United States,,
Vietnam,,
China,,
Kazakhstan,48.1012954,66.7780818
United States,39.7837304,-100.445882
Vietnam,15.9266657,107.9650855
China,35.0000663,104.999955
